['Am/dm/manager Data Scientist Insurance (2-8 Years)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Data Scientist - Logistics Firm',10XDigitalPro.com',5-10 yrs',Mumbai',r,machine learning,python,predictive modeling,agile project management,...',  Not disclosed ',57 days ago',datetime.datetime(2018,3,10,22,37,53,678383)],,,,,,,,,,,,,
['Data Scientist - Marketing Analytics',HDFC Standard Life Insurance Company Ltd',3-8 yrs',Mumbai',sas,Analytics,Marketing',  Not disclosed ',54 days ago',datetime.datetime(2018,3,10,22,37,53,685388)],,,,,,,,,,,,,,,,
['Data Scientist - SAS',TransOrg Analytics',2-6 yrs',Mumbai',sas,r,predictive modeling,logistic regression,predictive analytics...',  Not disclosed ',32 days ago',datetime.datetime(2018,3,10,22,37,53,695414)],,,,,,,,,,,,,,
['Urgently Looking for Data Scientist (nlp-mandatory)',Chenoa Information  Software Services Pvt. Ltd.',3-8 yrs',Mumbai',nlp,data science,r,predictive analytics,machine learning,python,sql...',  Not disclosed ',31 days ago',datetime.datetime(2018,3,10,22,37,53,702397)],,,,,,,,,,,,
['Data Scientist-machine Learning/ Deep Learning',Crescendo Global Services',5-10 yrs',Mumbai',Hive,Spark,Hadoop,Pig,Deep Learning,SCALA,Big Data,NLP,Data Science...',    25,0,000 - 30,0,000 P.A.  ',32 days ago',datetime.datetime(2018,3,10,22,37,53,710405)],,,,,,
['Data Scientist - SAS',TransOrg Analytics',2-6 yrs',Mumbai',sas,r,predictive modeling,logistic regression,data analysis,sql...',  Not disclosed ',60 days ago',datetime.datetime(2018,3,10,22,37,53,717409)],,,,,,,,,,,,,
['Senior Data Scientist',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Software Engineer - Machine Learning,Pyhton/r (data Scientist)',Diligence Netsoft pvt. ltd.',2-7 yrs',Delhi NCR,Mumbai,Bengaluru,Chennai,Hyderabad,Pune',Data Science,R,Machine Learning,Python,Logistic Regression...',  Not disclosed ',59 days ago',datetime.datetime(2018,3,10,22,37,53,737923)],,,,,,,,
['Data Scientist,People Data Centre - Hindustan Unilever Ltd',Hindustan Unilever Limited',5-10 yrs',Mumbai(Chakala)',Machine Learning,Natural Language Processing,NLP,Artificial Intelligence...',  Not disclosed ',32 days ago',datetime.datetime(2018,3,10,22,37,53,744432)],,,,,,,,,,,,,,
['DATA Scientist / R Programmer',Atria BioSciences',0-2 yrs',Delhi NCR,Mumbai,Bengaluru,Chennai,Hyderabad,Pune,Alappuzha,Noida,Trivandrum',clinical data,spss,Python,R,SAS,Tableau,Data Analytics...',    3,0,000 - 4,75,000 P.A.  ',19 days ago',datetime.datetime(2018,3,10,22,37,53,752440)]
['Data Scientist',PiSight- Startup',3-5 yrs',Mumbai',Data Scientist,Agile Scrum process,Hibernate,data visualisation...',  Not disclosed ',29 days ago',datetime.datetime(2018,3,10,22,37,53,761446)],,,,,,,,,,,,,,,
['Data Scientist',Smart Connect Technologies',3-5 yrs',Navi Mumbai',Data Scientist,Machine Learning,Natural Language Processing,NLP,NLTK...',  Not disclosed ',58 days ago',datetime.datetime(2018,3,10,22,37,53,771452)],,,,,,,,,,,,,,
