40,['UI Web Developer',UBS Business Solutions (India) Pvt. Ltd.',6-8 yrs',Mumbai',UI,Web Developer,JIRA,Rally,Version1,application design,Ant,Maven...',  Not disclosed ',29 days ago',datetime.datetime(2018,3,10,22,38,50,877860)],,,,,,,,,,
41,['UI Web Developer',UBS Business Solutions (India) Pvt. Ltd.',6-8 yrs',Mumbai',UI,Web Developer,JIRA,Rally,Version1,application design,Ant,Maven...',  Not disclosed ',30 days ago',datetime.datetime(2018,3,10,22,38,50,885872)],,,,,,,,,,
42,['Asp.net Web Developer',Truckbhada.com',0-2 yrs',Mumbai(Govind Nagar)',ASP.Net,C#,SQL Server,Javascript,Java,.Net,Web Development...',  Not disclosed ',8 days ago',datetime.datetime(2018,3,10,22,38,50,892877)],,,,,,,,,,,
43,['Front end Web Developer ( Angular / React)',Mutterfly - Startup',0-3 yrs',Mumbai',HTML,Javascript,CSS,JSON,Web Development,XML,Java,Front End,Schema,...',  Not disclosed ',22 days ago',datetime.datetime(2018,3,10,22,38,50,903437)],,,,,,,,
44,['Front End Web Developer Angular JS',AppMakerLabs',1-3 yrs',Mumbai,Navi Mumbai',Angularjs,HTML5 Developer,Front End Web Developer,Front End Developer...',    1,50,000 - 4,0,000 P.A.  ',19 days ago',datetime.datetime(2018,3,10,22,38,50,910420)],,,,,,,,,
45,['Front End Web Developer - Html/css/javascript',Premium',3-5 yrs',Mumbai',Javascript,CSS,JQuery,HTML,UI Development,Ajax,Html5,Angularjs...',  Not disclosed ',23 days ago',datetime.datetime(2018,3,10,22,38,50,919434)],,,,,,,,,,
46,['Excellent job Opportunity For Web Developer',AEQUITAS INFORMATION TECHNOLOGY PRIVATE LIMITED',1-4 yrs',Mumbai',Javascript,Ajax,JQuery,ASP.Net,Html5,SQL Server,C#,Web Development...',    2,0,000 - 4,0,000 P.A.  ',10 days ago',datetime.datetime(2018,3,10,22,38,50,926460)],,,,,,
47,['Sr Web Developer',Accenture',5-8 yrs',Mumbai',Photoshop,XHTML,CMS,Web development,CSS3,Front end,Backend...',  Not disclosed ',16 days ago',datetime.datetime(2018,3,10,22,38,50,933445)],,,,,,,,,,,
48,['Web Developer',Viva Connect Private Limited',0-1 yrs',Mumbai',web development,Web Developer,PHP Developer,Python Developer,Angularjs,...',    50,000 - 2,0,000 P.A.  ',5 days ago',datetime.datetime(2018,3,10,22,38,50,940443)],,,,,,,,,
49,['Senior Web Developer',The Red Pen',3-6 yrs',Mumbai',PHP,Javascript,MySQL,Laravel,Codeigniter,Wordpress,Web Development...',  Not disclosed ',12 days ago',datetime.datetime(2018,3,10,22,38,50,947449)],,,,,,,,,,,
50,['Web Developer - Css/html/javascript',Shrooms Creatives',3-7 yrs',Mumbai',CSS,JQuery,HTML,Javascript,Web Development,Html5,Canvas,UX...',  Not disclosed ',24 days ago',datetime.datetime(2018,3,10,22,38,50,955455)],,,,,,,,,,
